Date,Positif,Neutre,Négatif
29/06/20 00:00:00,0,0,0
06/07/20 00:00:00,0,0,0
13/07/20 00:00:00,0,0,0
20/07/20 00:00:00,0,0,0
27/07/20 00:00:00,0,0,0
03/08/20 00:00:00,0,0,0
10/08/20 00:00:00,0,0,0
24/08/20 00:00:00,5286,43503,19169
31/08/20 00:00:00,5711,45604,19237
07/09/20 00:00:00,8737,54509,22463
14/09/20 00:00:00,6333,43338,26836
21/09/20 00:00:00,8799,58523,32868
28/09/20 00:00:00,5816,49417,21570
05/10/20 00:00:00,8303,54674,24515
12/10/20 00:00:00,11089,71060,32381
19/10/20 00:00:00,8922,47361,28037
26/10/20 00:00:00,10729,65909,38579
02/11/20 00:00:00,8700,51411,33150
09/11/20 00:00:00,9439,47311,30646
16/11/20 00:00:00,8021,42675,26387
23/11/20 00:00:00,5637,26493,18711
30/11/20 00:00:00,4057,25800,16617
07/12/20 00:00:00,4769,29122,21337
14/12/20 00:00:00,6906,42433,20976
21/12/20 00:00:00,6467,40948,27810
28/12/20 00:00:00,8431,46171,33780
04/01/21 00:00:00,6916,50706,25831
11/01/21 00:00:00,8755,53091,34891
18/01/21 00:00:00,7720,51351,32498
25/01/21 00:00:00,8509,60262,34466
01/02/21 00:00:00,7383,45287,26737
08/02/21 00:00:00,6551,35494,25385
15/02/21 00:00:00,5917,35514,21316
22/02/21 00:00:00,6163,38170,29580
01/03/21 00:00:00,6330,35488,27120
08/03/21 00:00:00,6994,31656,23034
15/03/21 00:00:00,8811,49686,30137
22/03/21 00:00:00,8205,56994,32611
29/03/21 00:00:00,9170,57606,35806
05/04/21 00:00:00,6968,39389,28990
12/04/21 00:00:00,6085,45919,29864
19/04/21 00:00:00,5842,35819,25486
26/04/21 00:00:00,4728,33963,24170
03/05/21 00:00:00,4424,28694,18981
10/05/21 00:00:00,4181,27093,19569
17/05/21 00:00:00,4889,25443,20764
24/05/21 00:00:00,3672,25434,18726
31/05/21 00:00:00,3767,25158,18563
07/06/21 00:00:00,4900,23352,16851
14/06/21 00:00:00,6239,25616,18779
21/06/21 00:00:00,4515,24381,20683
28/06/21 00:00:00,4778,27560,25015
05/07/21 00:00:00,5602,32599,27995
12/07/21 00:00:00,7156,44870,49601
19/07/21 00:00:00,7931,49876,51611
26/07/21 00:00:00,7272,51421,48760
02/08/21 00:00:00,7616,51714,50988
09/08/21 00:00:00,7278,48099,43260
16/08/21 00:00:00,6973,32152,30615
23/08/21 00:00:00,6707,35799,41092
30/08/21 00:00:00,6445,34842,31867
06/09/21 00:00:00,5106,30551,27833
13/09/21 00:00:00,4189,24587,26385
20/09/21 00:00:00,3658,25637,23247
27/09/21 00:00:00,3457,26487,24202
04/10/21 00:00:00,3917,26826,21069
11/10/21 00:00:00,2587,21942,19168
18/10/21 00:00:00,3150,23078,19422
25/10/21 00:00:00,3613,23067,19584
01/11/21 00:00:00,3019,25350,25350
08/11/21 00:00:00,4644,37093,33695
15/11/21 00:00:00,5554,39984,34738
22/11/21 00:00:00,7240,49226,40058
29/11/21 00:00:00,6280,41273,37470
06/12/21 00:00:00,5870,39115,34214
13/12/21 00:00:00,7039,41377,41713
20/12/21 00:00:00,11808,56498,46871
27/12/21 00:00:00,16455,83836,64880
03/01/22 00:00:00,12801,82224,82295
10/01/22 00:00:00,13256,75377,64835
17/01/22 00:00:00,10410,67719,53274
24/01/22 00:00:00,9988,49222,47796
31/01/22 00:00:00,8401,49525,39061
07/02/22 00:00:00,5885,35320,31562
14/02/22 00:00:00,5008,32360,23406
21/02/22 00:00:00,10034,39478,27669
28/02/22 00:00:00,5669,27594,24672
07/03/22 00:00:00,5913,29949,26298
14/03/22 00:00:00,4428,24920,21847
21/03/22 00:00:00,3999,23976,21563
28/03/22 00:00:00,5514,25898,22634
04/04/22 00:00:00,4454,23933,21537
11/04/22 00:00:00,5137,23755,21033
18/04/22 00:00:00,3757,28834,23138
25/04/22 00:00:00,4298,26162,27739
02/05/22 00:00:00,3728,27121,23856
09/05/22 00:00:00,3265,23309,23005
16/05/22 00:00:00,4021,24597,20460
23/05/22 00:00:00,151,570,700

